ID,Pilih Nama Dosen,Mata Kuliah,Petemuan Ke,Tanggal,Keterangan,Lama Perkualiahan ,Materi yang diberikan 
0092dec9,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B,6,25/03/2025,Offline,02.30.00,Pusat Pertanggung Jawaban – Pusat Pendapatan
bfa369a6,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B,7,08/04/2025,Offline,02.30.00,Strategi Dan Analisis Laporan Keuangan
de8a8989,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B,8,15/04/2025,Offline,02.30.00,UTS
fc0309b4,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B,9,22/04/2025,Offline,02.30.00,Perencanaan Strategi
9ed4fd6a,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B,10,29/04/2025,Offline,02.30.00,Penyusunan Anggaran
7782b04f,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B,11,06/05/2025,Offline,02.30.00,Analisis Laporan Kinerja Keuangan
20caa1a3,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B,12,20/05/2025,Offline,02.30.00,Pengukuran Kinerja
2b966a4b,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B,13,27/05/2025,Offline,02.30.00,Kompensasi Manajemen
96ef39f8,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B,14,03/06/2025,Offline,02.30.00,Organisasi Jasa dan Multinasional
8466020c,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B,15,10/06/2025,Offline,02.30.00,Pengendalian Manajemen Pada Proyek
63a03032,"Syaiah, SE. M.Si",Sistem Pengendalian Manajemen - Kelas B,16,17/06/2025,Offline,02.30.00,UAS
71541537,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,1,19/02/2025,Offline,01.30.00,Perkenalan
140ad63b,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,2,26/02/2025,Offline,02.30.00,Laporan Keuangan
3eaae0e3,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,3,05/03/2025,Offline,02.30.00,Jenis dan Komponen Laporan Keuangan
c455671b,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,4,12/03/2025,Offline,02.30.00,Analisis Laporan Keuangan
59ab3b17,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,5,19/03/2025,Offline,02.30.00,Analisis Rasio
3aaa804c,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,6,09/04/2025,Offline,02.30.00,UTS
a0940d70,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,7,16/04/2025,Offline,02.30.00,Rasio Profitabilitas
01e15eb3,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,8,23/04/2025,Offline,02.30.00,Rasio Keuangan Bank
d9c614dc,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,9,30/04/2025,Offline,02.30.00,Analisis Sumber dan Penggunaan Modal Kerja
e75af4e1,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,10,07/05/2025,Offline,02.30.00,Analisis Perkreditan
bcc64d13,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,11,14/05/2025,Offline,02.30.00,Analisis Laba Kotor
11227288,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,12,21/05/2025,Offline,02.30.00,Analisis Titik Impas
8bd5249e,"Dr. Mulyati Akib, SE, M.Si, Ak, CA, CTA, CPA",Analisa Laporan Keuangan - Kelas A,13,28/05/2025,Offline,02.30.00,UAS
51e6fb99,"Satira Yusuf, SE., M.Si.",Metodologi Penelitian - Kelas C-23,10,06/05/2025,Offline,02.30.00,tujuan penelitian kuantitatif vs kualitatif: generalisasi vs kontekstualisasi
e170575f,"Satira Yusuf, SE., M.Si.",Metodologi Penelitian - Kelas C-23,11,13/05/2025,Offline,02.30.00,paradigma penelitian dan rumusan masalah kuantitatif vs kualitatif
738c60f6,"Satira Yusuf, SE., M.Si.",Metodologi Penelitian - Kelas C-23,12,20/05/2025,Offline,02.30.00,koleksi data dan panduan wawancara penelitian kualitatif
7d46f79b,"Satira Yusuf, SE., M.Si.",Metodologi Penelitian - Kelas C-23,13,27/05/2025,Offline,02.30.00,dasar analisis penelitian kualitatif
31987ec4,"Satira Yusuf, SE., M.Si.",Metodologi Penelitian - Kelas C-23,14,03/06/2025,Offline,02.30.00,penyajian metode penelitian kualitatif
b888b0aa,"Satira Yusuf, SE., M.Si.",Metodologi Penelitian - Kelas C-23,15,10/06/2025,Offline,02.30.00,penyajian hasil dan pembahasan
2428476c,"Satira Yusuf, SE., M.Si.",Metodologi Penelitian - Kelas C-23,16,08/07/2025,Offline,02.30.00,ujian akhir semester
d715b935,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D,9,01/05/2025,Offline,02.30.00,perhitungan pph pasal 21 untuk pegawai tetap
0e23b3e3,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D,10,08/05/2025,Offline,02.30.00,perhitungan pph pasal 21 untuk pegawai tidak tetap
aafd9ecc,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D,11,15/05/2025,Offline,02.30.00,perhitungan yang tidak dihitung atas jumlah hari kerja
f5efe1e2,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D,12,22/05/2025,Offline,02.30.00,pajak bumi dan bangunan
5d207d58,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D,13,29/05/2025,Offline,02.30.00,tambahan materi pajak bumi dan bangunan
700050ef,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D,14,05/06/2025,Offline,02.30.00,koreksi fiskal
1569872d,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D,15,12/06/2025,Offline,02.30.00,tambahan materi koreksi fiskal
8bc1a82d,"Prof. Dr. H. Andi Basru Wawo, SE, M.Si, Ak, CA",Perpajakan II - Kelas D,16,10/07/2025,Offline,02.30.00,ujian akhir semester
ac569e1b,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B,1,17/02/2025,Offline,02.30.00,Pemberian dan penyampaian RPS serta metode pembelajaran
ce780f0c,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B,2,24/02/2025,Offline,02.30.00,"Tinjauan Analisis Laporan
Keuangan"
2bd2db63,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B,3,03/03/2025,Offline,02.30.00,"Tinjauan Analisis Laporan
Keuangan"
339bcaef,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B,4,10/03/2025,Offline,02.30.00,"Pelaporan dan Analisis
Keuangan"
08ce0d7b,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B,5,17/03/2025,Offline,02.30.00,"Pelaporan dan Analisis
Keuangan"
6ca411f2,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B,6,24/03/2025,Offline,02.30.00,"Pelaporan dan Analisis
Keuangan"
3715016b,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B,7,14/04/2025,Offline,02.30.00,"Analisis Aktivitas
Pendanaan"
511cd997,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Analisa Laporan Keuangan - Kelas B,8,21/04/2025,Offline,02.30.00,UTS
a609428e,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B,9,28/04/2025,Offline,02.30.00,"Analisis Aktivitas
Pendanaan"
5607f8de,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B,10,05/05/2025,Offline,02.30.00,Analisis Aktivitas Investasi
4201ae5c,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B,11,19/05/2025,Offline,02.30.00,Analisis Aktivitas Investasi
13d6b42a,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B,12,26/05/2025,Offline,02.30.00,"Analisis
Aktivitas Investasi ;
Investasi Antarperusahaan"
10f1cea4,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B,13,02/06/2025,Offline,02.30.00,"Analisis
Aktivitas Investasi ;
Investasi Antarperusahaan"
a02a00a6,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B,14,16/06/2025,Offline,02.30.00,"Analisis
Aktivitas Operasi"
fc746fa4,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B,15,23/06/2025,Offline,02.30.00,Analisis Aktivitas Operasi
aecd737f,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Analisa Laporan Keuangan - Kelas B,16,30/06/2025,Offline,02.30.00,UAS
3f096a6c,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Akuntansi Keuangan Lanjutan II - Kelas B,1,20/02/2025,Offline,02.30.00,Penyampaian dan pemberian RPS serta metode pembelajaran
b3a5d033,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Akuntansi Keuangan Lanjutan II - Kelas B,2,27/02/2025,Offline,02.30.00,"Pengantar Kombinasi Usaha, Terkhusus Pada Akuisisi"
f74c485a,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Akuntansi Keuangan Lanjutan II - Kelas B,3,06/03/2025,Offline,02.30.00,"Metode Pencatatan Investasi, Metode Ekuitas, Metode Biaya/Nilai Wajar"
de2c64a7,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Akuntansi Keuangan Lanjutan II - Kelas B,4,13/03/2025,Offline,02.30.00,"Metode Pencatatan Investasi, Metode Ekuitas, Metode Biaya/Nilai Wajar"
