ID,Nama Dosen,Matakuliah - Kelas
165,"Wa Ode Aswati, S.E., M.Si., CRP",Akuntansi Manajemen - Kelas D
166,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",AUDITING II - Kelas D
167,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Pengantar Akuntansi II - Kelas D
168,"Dr. Sulvariany Tamburaka, SE, M.Si, ACPA, CTA, CTT",Perpajakan II - Kelas C
169,"Sari Handayani, SE., M.Ak",Sistem Akuntansi Keuangan Daerah - Kelas D
170,"Satira Yusuf, SE., M.Si.",Sistem Pengendalian Manajemen - Kelas C
171,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Akuntansi Manajemen - Kelas C
172,"Vina Olivia Pebrianti, SE. ME",Analisa Laporan Keuangan - Kelas A
173,"Vina Olivia Pebrianti, SE. ME",Analisa Laporan Keuangan - Kelas D
174,"Ika Maya Sari, SE., M.Si, Ak, CA, CTT, CRA, CRP",Analisa Laporan Keuangan - Kelas E
175,"Hasnidar, S.E., M.Si.",Hukum Bisnis dan Perusahaan - Kelas B
176,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Manajemen Pemasaran - Kelas D
177,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Hukum Bisnis dan Perusahaan - Kelas A
178,"Dr. La Ode Bahana Adam, SE., M.Si.",Manajemen Pemasaran - Kelas B
179,"Wa Ode Aswati, S.E., M.Si., CRP",Manajemen Strategi - Kelas A
180,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Sistem Informasi Akuntansi - Kelas B
181,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Sistem Informasi Akuntansi - Kelas D
182,"Hasnidar, S.E., M.Si.",Sistem Pengendalian Manajemen - Kelas E
183,"La Ode Wahidin, S.Pd.,M.Pd.I",AGAMA - Kelas B
184,"Pendais Hak, S.Ag., M.Pd.",AGAMA - Kelas C
185,"Dr. Ir. Andi Irwan Nur, MES.",Wawasan Kemaritiman - Kelas D
186,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Akuntansi Keuangan Lanjutan II - Kelas B
187,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Akuntansi Keuangan Lanjutan II - Kelas E
188,"Syaiah, SE. M.Si",Komputer Akuntansi - Kelas E
189,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",MANAJEMEN KEUANGAN 1 - Kelas A
190,"Safaruddin, SE., M.S.A, Ak, CA",Metodologi Penelitian - Kelas A-22
191,"Vina Olivia Pebrianti, SE. ME",Sistem Akuntansi Keuangan Daerah - Kelas C
192,"Hasnidar, S.E., M.Si.",Sistem Informasi Akuntansi - Kelas A
193,"Wa Ode Aswati, S.E., M.Si., CRP",MANAJEMEN KEUANGAN 1 - Kelas B
194,"Hasnidar, S.E., M.Si.",MANAJEMEN KEUANGAN 1 - Kelas C
195,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22
196,"Dr. Nur Asni, SE, M.Si",Metodologi Penelitian - Kelas D-22
197,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas B-22
198,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Perpajakan II - Kelas D
199,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",MANAJEMEN KEUANGAN 1 - Kelas D
200,"Dr. Noval Nur, SE., MM.",Manajemen Pemasaran - Kelas A
201,"Wa Ode Aswati, S.E., M.Si., CRP",Manajemen Strategi - Kelas B
202,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Manajemen Strategi - Kelas C
203,"Nitri Mirosea, SE, M.Si, M.AAC, CFE, Ph.D",Manajemen Strategi - Kelas D
204,"Andi Muhammad Fuad Ramadhan Basru, S.E., M.Acc., Ak",Perpajakan II - Kelas E
205,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Manajemen Strategi - Kelas E
206,"La Ode Wahidin, S.Pd.,M.Pd.I",AGAMA - Kelas A
207,"Ika Maya Sari, SE., M.Si, Ak, CA, CTT, CRA, CRP",Akuntansi Biaya - Kelas D
208,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Akuntansi Keuangan Lanjutan II - Kelas C
209,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Etika Bisnis dan Profesi Akuntan - Kelas D
210,"Hasnidar, S.E., M.Si.",Hukum Bisnis dan Perusahaan - Kelas C
211,"La Ode Muhammad Arfan Samrin, S.E, M.Ak",Hukum Bisnis dan Perusahaan - Kelas D
212,"Taufan Sufatriansa Awal, S.Ak., M.Acc",Komputer Akuntansi - Kelas A
213,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas A
214,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Etika Bisnis dan Profesi Akuntan - Kelas A
215,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Etika Bisnis dan Profesi Akuntan - Kelas C
216,"Dr. Emillia Nurdin, S.E., M.Si., CTT, CRA, CRP.",Metodologi Penelitian - Kelas B-23
217,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Metodologi Penelitian - Kelas D-23
218,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B
